kind,id,name,latin,ta2,ta2_la,ta2_en,ta2_path,tna,tna_la,tna_en,tna_path,wd,ta98,wd_en,wd_tr,wd_tr_aliases,trwiki,trwiki_redirects,relation,match,alt,note,decision
structures,abducens-nucleus,Abducens nucleus,Nucleus nervi abducentis,5941,Nucleus nervi abducentis,Nucleus of abducens nerve,Substantia grisea tegmenti pontis < Tegmentum Pontis < Truncus Encephali,1247,Nucleus nervi abducentis,Nucleus of abducens nerve,Nuclei Somatomotorii < Pons < Pars Centralis,Q2004202,A14.1.05.411,abducens nucleus,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,amygdala,Amygdala,Corpus amygdaloideum,5549,Corpus amygdaloideum,Amygdaloid body,Pars Basalis Telencephali < Cerebrum < Systema Nervosum,2504,Corpus amygdaloideum,Amygdaloid body,Telencephalon < Pars Centralis < Systema Nervosum,Q338924,A14.1.09.402,amygdala,Amigdala,Nucleus amigdala; Corpus amygdaloideum; Nucleus amygdalæ,Amigdala,Corpus amygdaloideum; Nucleus amigdala; Nucleus amygdalæ,exact,ta2:latin tna:latin wd:latin,,,
structures,anterior-commissure,Anterior commissure,,5613,Commissura anterior,Anterior commissure,Fibrae commissurales telencephali < Substantia Alba Telencephali < Cerebrum,1752,Commissura anterior,Anterior commissure,Ventriculus Tertius < Diencephalon < Pars Centralis,Q203800,A14.1.08.421,anterior commissure,,,,,exact,ta2:en tna:en wd:en,,,
structures,anterior-spinal-artery,Anterior spinal artery,Arteria spinalis anterior,4525,Arteria spinalis anterior,Anterior spinal artery,Arteriae Medullae Spinalis < Carotis Interna < Systema Cardiovasculare,540,Arteria spinalis anterior,Anterior spinal artery,Pars Intracranialis < Arteriae Encephali < Pars Centralis,Q490172,A12.2.08.016,anterior spinal artery,Anterior spinal arter,,Anterior spinal arter,,exact,ta2:latin tna:latin wd:latin,"ta2:4545 ""Ramus spinalis anterior arteriae vertebralis"" (other) | wd:Q136119906 ""anterior spinal branch of vertebral artery"" (other)",,
structures,arachnoid-granulations,Arachnoid granulations,Granulationes arachnoideae,5389,Granulationes arachnoideae,Arachnoid granulations,Arachnoidea < Leptomeninges < Systema Nervosum,267,Granulatio arachnoidea,Arachnoid granulation,Spatium subarachnoideum < Arachnoidea Mater < Leptomeninx,Q3559311,A14.1.01.205,Arachnoid granulation,,,,,exact,ta2:latin tna:en wd:latin,,TA2/TNA Latin differ,
structures,arachnoid-mater,Arachnoid mater,Arachnoidea mater,5386,Arachnoidea,Arachnoid,Leptomeninges < Systema Nervosum < Systemata Integrantia,263,Arachnoidea mater,Arachnoid,Leptomeninx < Pars Centralis < Systema Nervosum,Q1647112,A14.1.01.201,arachnoid mater,,,,,synonym,ta2:latin-syn tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2; TNA 263 is a subdivision of TA2 5386,
structures,area-broca,Broca's area,,,,,,2015,Pars triangularis,Triangular part,Gyrus frontalis inferior < Lobus Frontalis < Telencephalon,Q7840143,A14.1.09.115,triangular part of inferior frontal gyrus,pars triangularıs,,,,synonym,tna:syn wd:via-latin,"tna:2016 ""Pars opercularis"" (syn)",ambiguous,
structures,area-postrema,Area postrema,,6009,Area postrema,Area postrema,Substantia Grisea Medullae Oblongatae < Truncus Encephali < Systema Nervosum,1002,Area postrema,Area postrema,Nuclei Viscerosensorii < Myelencephalon < Pars Centralis,Q640532,A14.1.04.258,area postrema,,,,,exact,ta2:en tna:en wd:en,,,
structures,area-wernicke,Wernicke's area,,,,,,2059,Pars posterior,Posterior part,Gyrus temporalis superior < Lobus Temporalis < Telencephalon,,,,,,,,synonym,tna:syn,,,
structures,arteries-lenticulostriate,Lenticulostriate arteries,Arteriae lenticulostriatae,4510,Arteriae centrales anterolaterales,Anterolateral central arteries,Arteria Media Cerebri < Carotis Interna < Systema Cardiovasculare,483,Arteriae centrales anterolaterales,Anterolateral central arteries,Pars Sphenoidalis < Arteriae Encephali < Pars Centralis,Q707697,A12.2.07.048,anterolateral central arteries,,,,,synonym,ta2:latin-syn tna:syn wd:syn,,our Latin differs from TA2,
